0:0:0:0:0:0:0:1 - - [26/May/2017:16:15:54 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:15:54 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:25:01 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [26/May/2017:16:25:01 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:25:01 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:26:24 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [26/May/2017:16:26:24 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:26:24 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:28:59 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [26/May/2017:16:45:44 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 5358
0:0:0:0:0:0:0:1 - - [26/May/2017:16:45:44 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:45:44 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:50:15 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 5900
0:0:0:0:0:0:0:1 - - [26/May/2017:16:50:26 +0800] "GET /gg_shop/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:17:03:54 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 7843
0:0:0:0:0:0:0:1 - - [26/May/2017:17:03:54 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:17:03:54 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:17:20:59 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 8200
0:0:0:0:0:0:0:1 - - [26/May/2017:17:20:59 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:17:20:59 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:20:47 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [26/May/2017:20:20:47 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [26/May/2017:20:20:47 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:20:47 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:21:22 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [26/May/2017:20:26:13 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [26/May/2017:20:26:13 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:26:13 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
